AKAM,VOl_CHANGE,TURNOVER,Predicted_AKAM
103.18,-0.204608387,7.963558341,0.257530518
103.61,-0.056792063,7.511291435,-0.000182495
103.78,-0.094543177,6.801150076,-1.759858398
102.19,0.022819485,6.956348815,-0.160550537
102.2,-0.260083832,5.147114958,-0.795016479
101.57,0.222725669,6.29350958,0.420997314
102.16,0.130906647,7.117371817,2.941493835
105.27,0.459295244,10.38634685,0.923252563
106.37,-0.355474715,6.694263163,0.365900879
106.91,0.418323586,9.494631335,0.891971436
107.98,-0.098808421,8.556481801,-0.076458435
108.08,-0.21341538,6.730396986,0.313508911
108.57,-0.296397293,4.735525538,-0.802292175
107.94,0.560065942,7.387732109,-0.545209351
107.57,-0.538470513,3.409656208,-0.930839844
106.81,0.306058034,4.453208885,-2.675272522
104.3,0.991426889,8.868239915,0.231417847
104.7,-0.420494094,5.139197409,0.592633057
105.46,0.14940897,5.9070396,-0.245011292
105.38,0.959499502,11.57484116,-0.376299744
105.17,-0.11428848,10.24843673,5.529958801
110.87,1.441595613,25.02253816,-1.350491638
109.69,-0.485864295,12.86498031,-2.547894897
107.31,0.013053138,13.03290867,1.138928833
108.62,-0.139656127,11.21278311,0.543284302
109.34,-0.224862818,8.691445101,0.304744873
109.82,0.033261199,8.980532989,-0.657036133
109.34,-0.483535356,4.63812777,1.978817139
111.5,0.822630749,8.453594289,-3.177360535
108.5,0.526735297,12.90640079,2.218231201
110.89,-0.355246367,8.321448794,-1.240212097
109.83,-0.283571327,5.96172452,0.535943909
110.54,0.184614638,7.062346135,0.278901062
110.99,0.587352395,11.21043205,-0.58577179
110.58,-0.470882051,5.931640817,1.055993958
111.81,0.281233236,7.599815362,0.794064941
112.78,-0.118657162,6.698042836,-0.925553589
112.03,-0.072489337,6.212506155,2.093443604
114.31,0.426390518,8.861459872,-1.773447571
112.71,1.082299053,18.4522095,-3.806984863
109.08,-0.436021967,10.40664082,1.693826599
110.95,-0.349445936,6.770082472,0.133229065
111.26,-0.057349844,6.381819301,-0.33824707
111.1,0.30593451,8.33423806,1.021452332
112.3,-0.040483049,7.996842688,-0.377079773
112.1,-0.208216253,6.331770064,-0.310456848
111.97,-0.121918455,5.559810438,0.865197449
113.01,-0.051091594,5.275750862,2.215570679
115.41,0.481016188,7.813472427,-1.314136658
114.28,0.224691284,9.569091581,1.782255859
116.24,-0.283161798,6.859490399,0.452008972
116.88,0.226539438,8.4134355,-1.714709167
115.35,0.717970176,14.45403127,-1.389428711
114.14,-0.489259273,7.382262432,1.512229309
115.84,0.095880681,8.090078779,0.066715393
116.09,-0.467273651,4.309798129,-0.032344666
116.24,-0.006697551,4.280933038,1.536397705
117.96,0.175705828,5.033117922,0.303008118
118.45,0.227068127,6.175978582,-0.221286011
118.41,-0.108756289,5.504302068,-1.35468689
117.24,-0.201433685,4.395550222,-0.385027161
