AKAM,VOl_CHANGE,TURNOVER,Predicted_AKAM
105.24,1.226095055,11.12039211,0.069928894
105.44,-0.454804054,6.062792699,-3.935384216
101.63,1.308342719,13.99500338,1.023213501
102.78,-0.273428316,10.16837318,0.562353821
103.47,0.192651418,12.12732469,-1.176344604
102.42,-0.354276754,7.830895458,-0.855447693
101.69,0.40359922,10.99143876,-0.155415955
101.66,-0.120683263,9.664956057,1.032390442
102.86,0.563643301,15.11254379,3.428253784
106.46,0.255929128,18.98028394,3.375243225
110.01,-0.25269875,14.18398992,-0.820150146
109.37,-0.484921423,7.305869338,0.406756287
109.95,0.318843177,9.635295925,-1.064990234
109.06,-0.100676188,8.66525106,2.159985962
111.4,0.651980995,14.31483007,5.438378906
117.02,0.066305278,15.26397886,3.139294128
120.35,1.077585297,31.71221806,-7.74112854
112.79,-0.299229345,22.22299183,-1.933814087
111.03,-0.33231699,14.83791408,0.407019348
111.61,-0.421927144,8.577395366,0.422333374
112.21,0.227167268,10.52589884,-0.789772949
111.59,-0.339400666,6.953401758,0.523807678
112.29,-0.172761245,5.75212341,2.204483948
114.67,0.370041285,7.880646549,2.455236511
117.3,0.117125232,8.803669105,0.643916321
118.12,0.40781112,12.39390326,-13.19033539
105.1,3.623642525,57.30497818,-3.799501038
101.46,-0.405789067,34.05124455,0.054778137
101.68,-0.563096902,14.87709422,-2.882713013
98.96,0.193126067,17.75024891,2.834593811
101.96,-0.145460595,15.16828714,-2.426094971
99.7,-0.124991896,13.27237416,-0.928103638
98.94,0.103440164,14.64527073,-1.032918396
98.07,-0.018488568,14.37450065,-0.53698761
97.69,-0.173744215,11.8399032,-0.286343994
97.57,0.267776243,15.010348,-2.23494751
95.49,-0.020514786,14.70241392,-1.128000488
94.52,0.118851803,16.44982233,1.353153687
96.04,-0.269816085,12.01139566,-0.327727356
95.87,-0.153730171,10.16488175,-2.599423523
93.44,0.135858821,11.5458706,-0.095845642
93.51,0.366455171,15.77691459,3.455904236
97.13,0.400014291,22.08790589,0.037442322
97.33,0.057353736,23.35472981,-0.417669373
97.07,-0.372159564,14.66304374,-0.867935486
96.36,-0.348956379,9.546281093,0.518967285
97.04,0.320920274,12.60987624,0.403473816
97.6,-0.274542509,9.147929175,2.245481873
100.01,0.059085475,9.660679704,0.096956482
100.27,-0.0255959,9.41340591,-0.169513245
100.26,-0.213936144,7.399538149,-2.214933167
98.2,0.561537388,11.55465547,1.049328613
99.41,0.324379154,15.30274484,0.654903259
100.22,-0.475585165,8.024986407,-0.678076477
99.7,-0.022021891,7.848261032,-1.457080078
98.4,0.365326923,10.71544209,1.073617554
99.63,-0.034844926,10.3420633,2.95391571
